"","Word","AmbiguityType","Length","Meanings","Senses","fSense","famfRes","eDom_biggest","colN","nLet","nSyll","nMeanings","nSenses","OLD","Imageability","ZipfFreq_Subtlex","OLD20","nsyl","coltN","nMeanings_WMD","nSenses_WMD"
"180","list","Homonymy",4,"Many","Few",1,0.805979853479853,96,16,4,1,2,5,1,179,4.96,1.3,1,12,2,5
"181","load","Polysemy",4,"One","Many",2,0.0385714285714291,NA,NA,NA,NA,NA,NA,NA,NA,4.49,1.4,1,10,1,13
"182","lock","Hybrid",4,"Many","Many",2,0.79776455026455,77,19,4,1,2,12,1,105,4.42,1.05,1,15,2,12
"183","lodge","Polysemy",5,"One","Many",2,-0.747142857142856,NA,NA,NA,NA,NA,NA,NA,NA,3.76,1.7,1,2,1,11
"184","loop","Polysemy",4,"One","Many",2,-0.247142857142856,NA,NA,NA,NA,NA,NA,NA,NA,3.82,1.35,1,8,1,11
"185","loss","Unambiguous",4,"One","Few",1,0.307489824989824,NA,NA,NA,NA,NA,NA,NA,NA,4.67,1.05,1,15,1,6
"186","lying","Homonymy",5,"Many","Few",1,0.341694139194138,72,3,5,2,2,4,1.65,179,4.66,1.65,2,3,2,4
"187","mail","Homonymy",4,"Many","Few",1,0.877408424908424,83,19,4,1,2,6,1,118,4.63,1,1,18,2,6
"188","mark","Hybrid",4,"Many","Many",2,0.404907407407407,93,25,4,1,2,17,1,42,5.37,1.15,1,14,2,17
"189","mask","Polysemy",4,"One","Many",2,0.36,NA,NA,NA,NA,NA,NA,NA,NA,4.04,1.45,1,9,1,11
"190","massive","Unambiguous",7,"One","Few",1,0.59320411070411,NA,NA,NA,NA,NA,NA,NA,NA,5.04,2.1,2,2,1,3
"191","mate","Hybrid",4,"Many","Many",2,-0.0236640211640209,76,28,4,2,2,12,1,88,5.1,1,1,21,2,12
"192","meal","Homonymy",4,"Many","Few",1,1.198836996337,83,18,4,1,2,3,1,140,4.53,1.15,1,13,2,3
"193","mess","Polysemy",4,"One","Many",2,0.86,NA,NA,NA,NA,NA,NA,NA,NA,4.79,1.45,1,9,1,11
"194","mount","Hybrid",5,"Many","Many",2,-0.773664021164021,84,3,5,1,2,11,1.7,179,4.12,1.7,1,4,2,11
"195","mystic","Unambiguous",6,"One","Few",1,-1.44251017501018,NA,NA,NA,NA,NA,NA,NA,NA,3.06,2.5,2,1,1,5
"196","nest","Polysemy",4,"One","Many",2,0.36,NA,NA,NA,NA,NA,NA,NA,NA,4.4,1.15,1,15,1,11
"197","net","Hybrid",3,"Many","Many",2,0.833478835978836,73,25,3,1,2,11,1,112,4.53,1,1,15,2,11
"198","nip","Hybrid",3,"Many","Many",2,-0.999854497354498,84,20,3,1,2,11,1,74,3.74,1.2,1,14,2,11
"199","note","Polysemy",4,"One","Many",2,0.574285714285715,NA,NA,NA,NA,NA,NA,NA,NA,4.62,1.4,1,9,1,11
"200","oath","Unambiguous",4,"One","Few",1,-1.04965303215303,NA,NA,NA,NA,NA,NA,NA,NA,3.54,1.5,1,7,1,4
"201","pace","Hybrid",4,"Many","Many",2,-0.20223544973545,94,21,4,2,2,13,1,179,4.6,1,1,14,2,13
"202","pack","Hybrid",4,"Many","Many",2,0.404907407407407,84,25,4,1,2,17,1,179,4.62,1.1,1,17,2,17
"203","pad","Hybrid",3,"Many","Many",2,0.0477645502645503,79,35,3,1,2,14,1,179,3.97,1,1,21,2,14
"204","palm","Homonymy",4,"Many","Few",1,0.484551282051282,69,9,4,1,2,7,1.25,124,3.87,1.55,1,5,2,7
"205","panel","Unambiguous",5,"One","Few",1,-1.47822446072446,NA,NA,NA,NA,NA,NA,NA,NA,4.39,1.85,2,1,1,7
"206","peak","Unambiguous",4,"One","Few",1,-0.371081603581604,NA,NA,NA,NA,NA,NA,NA,NA,4.26,1.25,1,11,1,7
"207","pet","Homonymy",3,"Many","Few",1,1.62740842490842,93,31,3,1,2,8,1,152,4.46,1,1,22,2,8
"208","pile","Hybrid",4,"Many","Many",2,-0.237949735449735,79,19,4,1,3,15,1,93,4.23,1.1,1,15,3,15
"209","pink","Homonymy",4,"Many","Few",1,0.984551282051282,98,24,4,1,2,8,1,179,4.8,1,1,15,2,8
"210","pipe","Hybrid",4,"Many","Many",2,0.476335978835979,88,12,4,1,2,15,1.15,159,4.26,1.4,1,7,2,15
"211","pitch","Hybrid",5,"Many","Many",2,-0.380806878306879,88,14,5,1,2,23,1.15,179,4.6,1.55,1,7,2,23
"212","plump","Hybrid",5,"Many","Many",2,-0.666521164021164,84,5,5,1,2,11,1.6,179,3.6,1.55,1,5,2,11
"213","poke","Polysemy",4,"One","Many",2,0.502857142857144,NA,NA,NA,NA,NA,NA,NA,NA,3.57,1.1,1,14,1,12
"214","poker","Homonymy",5,"Many","Few",1,0.16312271062271,74,10,5,2,2,2,1.35,179,3.78,1.55,2,5,2,2
"215","pool","Hybrid",4,"Many","Many",2,0.97633597883598,64,15,4,1,2,11,1.05,143,4.54,1.45,1,9,2,11
"216","pop","Hybrid",3,"Many","Many",2,0.29776455026455,51,29,3,4,3,20,1,179,4.95,1,1,18,3,20
"217","port","Hybrid",4,"Many","Many",2,-0.809378306878307,48,20,4,1,5,16,1,116,4.49,1.25,1,12,5,16
"218","pose","Homonymy",4,"Many","Few",1,-0.622591575091576,79,20,4,1,2,8,1,179,3.94,1,1,13,2,8
"219","post","Hybrid",4,"Many","Many",2,0.333478835978836,43,18,4,1,3,15,1,96,4.87,1.05,1,15,3,15
"220","pound","Hybrid",5,"Many","Many",2,0.619193121693121,51,7,5,1,3,15,1.55,122,4.51,1.55,1,7,3,15
"221","precise","Unambiguous",7,"One","Few",1,-0.621081603581604,NA,NA,NA,NA,NA,NA,NA,NA,4.06,2.15,2,1,1,5
"222","press","Hybrid",5,"Many","Many",2,0.369193121693121,91,7,5,1,2,17,1.55,179,4.89,1.7,1,6,2,17
"223","prize","Unambiguous",5,"One","Few",1,0.807489824989824,NA,NA,NA,NA,NA,NA,NA,NA,4.81,1.75,1,3,1,8
"224","prop","Homonymy",4,"Many","Few",1,-0.979734432234433,61,17,4,1,3,6,1,53,3.85,1.25,1,12,3,6
"225","puff","Polysemy",4,"One","Many",2,-0.89,NA,NA,NA,NA,NA,NA,NA,NA,3.92,1.55,1,7,1,16
"226","pump","Hybrid",4,"Many","Many",2,0.0120502645502647,82,14,4,1,2,13,1.1,125,4.11,1.3,1,11,2,13
"227","pure","Unambiguous",4,"One","Few",1,-0.478224460724461,NA,NA,NA,NA,NA,NA,NA,NA,4.35,1.25,1,11,1,8
"228","purge","Polysemy",5,"One","Many",2,-1.67571428571429,NA,NA,NA,NA,NA,NA,NA,NA,2.81,1.65,1,3,1,12
"229","quest","Unambiguous",5,"One","Few",1,-1.01393874643875,NA,NA,NA,NA,NA,NA,NA,NA,4.11,1.9,1,1,1,4
"230","rack","Hybrid",4,"Many","Many",2,0.226335978835979,NA,NA,NA,NA,NA,NA,NA,NA,3.81,1,1,16,5,15
"231","rage","Unambiguous",4,"One","Few",1,-0.40679588929589,NA,NA,NA,NA,NA,NA,NA,NA,3.83,1,1,15,1,8
"232","rake","Hybrid",4,"Many","Many",2,0.226335978835979,84,23,4,1,3,17,1,120,3.4,1,1,16,3,17
"233","rally","Hybrid",5,"Many","Many",2,-0.916521164021164,86,7,5,2,2,14,1.35,179,3.94,1.5,2,7,2,14
"234","rank","Hybrid",4,"Many","Many",2,0.119193121693121,75,17,4,1,2,14,1,179,3.9,1,1,15,2,14
"235","rare","Homonymy",4,"Many","Few",1,0.198836996336996,67,26,4,1,2,5,1,46,4.68,1.1,1,16,2,5
"236","rate","Hybrid",4,"Many","Many",2,-0.095092592592593,84,28,4,1,2,14,1,4,4.85,1,1,19,2,14
"237","reach","Polysemy",5,"One","Many",2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,4.81,1.5,1,7,1,13
"238","rear","Homonymy",4,"Many","Few",1,-0.051163003663004,70,18,4,1,2,9,1,55,4.24,1,1,16,2,9
"239","rent","Homonymy",4,"Many","Few",1,-0.0154487179487184,90,21,4,1,2,8,1,63,4.53,1.15,1,15,2,8
"240","rice","Unambiguous",4,"One","Few",1,0.878918396418396,NA,NA,NA,NA,NA,NA,NA,NA,4.42,1.05,1,16,1,3
"241","rich","Unambiguous",4,"One","Few",1,0.914632682132681,NA,NA,NA,NA,NA,NA,NA,NA,4.86,1.9,1,2,1,8
"242","ripe","Unambiguous",4,"One","Few",1,-0.478224460724461,NA,NA,NA,NA,NA,NA,NA,NA,3.7,1.1,1,13,1,5
"243","rise","Polysemy",4,"One","Many",2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,4.78,1.1,1,12,1,24
"244","roast","Polysemy",5,"One","Many",2,-0.175714285714285,NA,NA,NA,NA,NA,NA,NA,NA,4.18,1.7,1,4,1,12
"245","rock","Hybrid",4,"Many","Many",2,1.40490740740741,54,15,4,1,2,13,1,166,5.01,1.1,1,13,2,13
