,DocID,contextIndex,ContextID
681,BPD,1372,BPD_1
682,BPD,1373,BPD_2
683,BPD,1374,BPD_3
684,BPD,1375,BPD_4
685,BPD,1376,BPD_5
686,BPD,1377,BPD_6
687,BPD,1378,BPD_7
688,BPD,1379,BPD_8
689,BPD,1380,BPD_9
690,BP4,1384,BP4_1
691,BP4,1385,BP4_2
692,BP4,1386,BP4_3
693,BP4,1387,BP4_4
694,BP4,1388,BP4_5
695,BP4,1389,BP4_6
696,BP4,1390,BP4_7
697,BP4,1391,BP4_8
698,BP4,1392,BP4_9
699,BPH,1399,BPH_1
700,BPH,1400,BPH_2
701,BPH,1401,BPH_3
702,BPH,1402,BPH_4
703,BPH,1403,BPH_5
704,BPH,1404,BPH_6
705,BPH,1405,BPH_7
706,BPH,1406,BPH_8
707,BPH,1407,BPH_9
708,BP8,1416,BP8_1
709,BP8,1417,BP8_2
710,BP8,1418,BP8_3
711,BP8,1419,BP8_4
712,BP8,1420,BP8_5
713,BP8,1421,BP8_6
714,BP8,1422,BP8_7
715,BP8,1423,BP8_8
716,BP8,1424,BP8_9
717,BPJ,1430,BPJ_1
718,BPJ,1431,BPJ_2
719,BPJ,1432,BPJ_3
720,BPJ,1433,BPJ_4
721,BPJ,1434,BPJ_5
722,BPJ,1435,BPJ_6
723,BPJ,1436,BPJ_7
724,BPJ,1437,BPJ_8
725,BPJ,1438,BPJ_9
726,BP0,1439,BP0_1
727,BP0,1440,BP0_2
728,BP0,1441,BP0_3
729,BP0,1442,BP0_4
730,BP0,1443,BP0_5
731,BP0,1444,BP0_6
732,BP0,1445,BP0_7
733,BP0,1446,BP0_8
734,BP0,1447,BP0_9
735,BPB,1457,BPB_1
736,BPB,1458,BPB_2
737,BPB,1459,BPB_3
738,BPB,1460,BPB_4
739,BPB,1461,BPB_5
740,BPB,1462,BPB_6
741,BPB,1463,BPB_7
742,BPB,1464,BPB_8
743,BPB,1465,BPB_9
744,B2U,1468,B2U_1
745,B2U,1469,B2U_2
746,B2U,1470,B2U_3
747,B2U,1471,B2U_4
748,B2U,1472,B2U_5
749,B2U,1473,B2U_6
750,B2U,1474,B2U_7
751,B2U,1475,B2U_8
752,B2U,1476,B2U_9
753,B2D,1483,B2D_1
754,B2D,1484,B2D_2
755,B2D,1485,B2D_3
756,B2D,1486,B2D_4
757,B2D,1487,B2D_5
758,B2D,1488,B2D_6
759,B2D,1489,B2D_7
760,B2D,1490,B2D_8
761,B2D,1491,B2D_9
762,B2M,1498,B2M_1
763,B2M,1499,B2M_2
764,B2M,1500,B2M_3
765,B2M,1501,B2M_4
766,B2M,1502,B2M_5
767,B2M,1503,B2M_6
768,B2M,1504,B2M_7
769,B2M,1505,B2M_8
770,B2M,1506,B2M_9
771,B2K,1513,B2K_1
772,B2K,1514,B2K_2
773,B2K,1515,B2K_3
774,B2K,1516,B2K_4
775,B2K,1517,B2K_5
776,B2K,1518,B2K_6
777,B2K,1519,B2K_7
778,B2K,1520,B2K_8
779,B2K,1521,B2K_9
780,B26,1524,B26_1
781,B26,1525,B26_2
782,B26,1526,B26_3
783,B26,1527,B26_4
784,B26,1528,B26_5
785,B26,1529,B26_6
786,B26,1530,B26_7
787,B26,1531,B26_8
788,B26,1532,B26_9
789,B25,1534,B25_1
790,B25,1535,B25_2
791,B25,1536,B25_3
792,B25,1537,B25_4
793,B25,1538,B25_5
794,B25,1539,B25_6
795,B25,1540,B25_7
796,B25,1541,B25_8
797,B25,1542,B25_9
798,B2J,1553,B2J_1
799,B2J,1554,B2J_2
800,B2J,1555,B2J_3
801,B2J,1556,B2J_4
802,B2J,1557,B2J_5
803,B2J,1558,B2J_6
804,B2J,1559,B2J_7
805,B2J,1560,B2J_8
806,B2J,1561,B2J_9
807,B2W,1575,B2W_1
808,B2W,1576,B2W_2
809,B2W,1577,B2W_3
810,B2W,1578,B2W_4
811,B2W,1579,B2W_5
812,B2W,1580,B2W_6
813,B2W,1581,B2W_7
814,B2W,1582,B2W_8
815,B2W,1583,B2W_9
816,B20,1593,B20_1
817,B20,1594,B20_2
818,B20,1595,B20_3
819,B20,1596,B20_4
820,B20,1597,B20_5
821,B20,1598,B20_6
822,B20,1599,B20_7
823,B20,1600,B20_8
824,B20,1601,B20_9
825,B27,1612,B27_1
826,B27,1613,B27_2
827,B27,1614,B27_3
828,B24,1615,B24_1
829,B24,1616,B24_2
830,B24,1617,B24_3
831,B24,1618,B24_4
832,B24,1619,B24_5
833,B24,1620,B24_6
834,B24,1621,B24_7
835,B24,1622,B24_8
836,B24,1623,B24_9
837,B2F,1634,B2F_1
838,B2F,1635,B2F_2
839,B2F,1636,B2F_3
840,B2F,1637,B2F_4
841,B2F,1638,B2F_5
842,B2F,1639,B2F_6
843,B2F,1640,B2F_7
844,B2F,1641,B2F_8
845,B2F,1642,B2F_9
846,B21,1649,B21_1
847,B21,1650,B21_2
848,B21,1651,B21_3
849,B21,1652,B21_4
850,B21,1653,B21_5
851,B21,1654,B21_6
852,B21,1655,B21_7
853,B21,1656,B21_8
854,B21,1657,B21_9
855,B2T,1659,B2T_1
856,B2T,1660,B2T_2
857,B2T,1661,B2T_3
858,B2T,1662,B2T_4
859,B2T,1663,B2T_5
860,B2T,1664,B2T_6
861,B2T,1665,B2T_7
862,B2T,1666,B2T_8
863,B2T,1667,B2T_9
