Word,SemD,cosMean,WordCount,nContexts
cluttered,1.582418386,0.026156619,161,158
clwyd,1.133625751,0.07351471,268,187
clyde,1.392575579,0.040497146,410,307
clydebank,0.852132516,0.140561856,82,54
clydesdale,1.114510768,0.076822641,82,64
cm,1.256723052,0.055370309,3748,1317
cmnd,1.1857456,0.065201021,120,89
cmon,1.188787457,0.06474594,58,47
cmos,0.583430832,0.260957131,82,64
cms,1.082417367,0.082714687,228,87
cnaa,0.399612557,0.398462488,640,126
cnaas,0.168107007,0.679036302,107,47
cnd,1.232282876,0.058575651,229,130
cnn,1.044855785,0.090187057,69,51
cnut,0.270721149,0.536140791,250,47
co,1.997846217,0.010049716,16223,9906
coach,1.209708761,0.061700863,3285,2056
coached,1.044527464,0.090255263,149,137
coaches,1.182660686,0.065665811,776,549
coaching,1.090907463,0.081113387,792,549
coachman,1.270815853,0.053602389,87,69
coal,1.333318809,0.046417441,4716,2101
coalesce,1.623506526,0.023795425,57,56
coalfield,0.894251757,0.127569908,158,108
coalfields,0.917265766,0.120985754,119,104
coalition,1.244957569,0.056890851,2339,1263
coalitions,1.171432133,0.067385719,159,132
coals,1.201587218,0.062865559,297,203
coarse,1.571454762,0.02682534,616,540
coarsely,0.834595706,0.146353898,53,49
coarser,1.312154653,0.048735491,72,61
coast,1.479331781,0.0331641,4344,3021
coastal,1.352954757,0.044365486,1383,943
coaster,1.562931778,0.027356984,89,84
coastguard,1.119174369,0.076002107,151,104
coastguards,1.097758612,0.079843835,58,51
coasting,1.325156411,0.047298088,62,57
coastline,1.131946759,0.07379947,457,374
coastlines,1.072079334,0.084707266,52,50
coasts,1.194984413,0.063828639,324,261
coat,1.488229467,0.032491558,2851,2143
coated,1.507925951,0.03105089,591,491
coates,1.59264649,0.0255478,125,93
coating,1.265226276,0.054296736,355,280
coatings,0.734333138,0.184360069,241,99
coats,1.544018737,0.028574673,755,631
coax,1.802138115,0.015771096,107,95
coaxed,1.554963106,0.027863579,120,119
coaxing,1.51382198,0.030632188,96,91
cob,1.336071748,0.046124137,140,69
cobalt,1.092730875,0.080773542,296,114
cobbled,1.316525694,0.048247443,264,249
cobblers,1.525077721,0.029848484,83,69
cobbles,1.218746181,0.06043017,155,134
cobham,1.242079524,0.057269116,84,54
cobol,0.581043723,0.262395436,203,83
cobra,1.461494322,0.034554585,201,101
coburg,0.47261202,0.336812329,101,63
cobwebs,1.364288587,0.043222652,112,106
coca,1.036975848,0.091838367,459,348
cocaine,1.113635305,0.076977658,649,377
cochrane,1.19483394,0.063850758,129,90
cock,1.56016543,0.027531798,569,448
cockburn,1.466571344,0.034152984,103,79
cocked,1.34985198,0.044683586,227,218
cocker,1.404280861,0.039420229,63,48
cockerel,1.155407673,0.069918536,57,45
cocking,1.476448763,0.033384989,53,45
cockney,1.324210446,0.047401224,242,222
cockpit,0.812050069,0.154152272,553,377
cockroach,1.299418205,0.050185909,56,40
cockroaches,1.435050123,0.036723991,85,73
cocks,1.560406522,0.027516518,148,112
cocktail,1.495840969,0.031927068,648,537
cocktails,1.315143791,0.048401209,109,97
cocky,1.355477369,0.044108535,93,84
coco,1.184483137,0.065390832,67,49
cocoa,1.503114151,0.031396833,439,237
coconut,1.370309825,0.042627531,291,206
cocoon,1.494776588,0.032005411,89,79
cocooned,1.583609145,0.026085001,50,49
cocteau,0.973525318,0.106285662,71,45
cod,1.312568681,0.048689052,331,216
coda,0.923191443,0.119346189,59,47
code,1.721819672,0.018974936,5124,2668
coded,1.718398061,0.019125022,416,365
codes,1.775184883,0.016780895,1230,819
codification,1.068785203,0.085352215,73,56
codified,1.496842066,0.031853557,91,76
coding,1.428849537,0.037252075,474,311
codon,0.554806922,0.27873601,85,40
coe,1.220141443,0.060236337,127,83
coefficient,1.083318907,0.08254316,357,205
coefficients,0.891268072,0.128449355,292,178
coeliac,0.641880965,0.228096717,320,54
coerce,1.596721264,0.025309219,50,48
coerced,1.687807198,0.02052073,96,90
coercion,1.309824224,0.048997709,319,226
coercive,1.279973923,0.052483897,182,139
coexist,1.728838676,0.018670731,94,92
coexistence,1.498402278,0.031739328,98,88
coffee,1.504768863,0.031277436,5553,3516
coffees,1.310565915,0.048914102,90,68
coffers,1.676062291,0.021083257,157,155
coffin,1.283142146,0.052102415,1284,528
coffins,1.113001101,0.077090151,230,141
cog,1.635474026,0.023148666,59,54
cogent,1.708443631,0.019568447,79,79
cognac,1.294144044,0.050799093,123,93
cognate,1.312790513,0.048664189,72,48
cognition,0.934797607,0.116199001,134,95
cognitive,1.09096849,0.08110199,1209,595
cogs,1.445275839,0.035869404,62,50
cohabitation,0.847069854,0.142210003,122,78
cohabiting,0.826761294,0.149017992,84,55
cohen,1.661619475,0.021796187,548,326
cohens,1.217274147,0.060635345,73,53
coherence,1.457878056,0.034843514,405,334
coherent,1.742092618,0.018109538,1029,912
coherently,1.559136392,0.02759711,68,66
cohesion,1.533081537,0.02930343,447,347
cohesive,1.577524581,0.02645303,247,206
cohesiveness,1.323270795,0.047503893,58,40
cohn,1.135234969,0.073242816,100,60
cohort,1.281885666,0.052253374,356,202
cohorts,1.225310685,0.059523617,154,111
coil,1.298865267,0.050249846,438,258
coiled,1.361770252,0.043474015,196,177
coiling,1.365028062,0.04314912,53,47
coils,1.355689507,0.044086994,226,164
coin,1.571642018,0.026813776,1105,721
coinage,0.730914691,0.185816942,276,124
coincide,1.914262111,0.012182541,625,594
coincided,1.902649329,0.01251269,556,535
coincidence,1.840694895,0.014431288,799,742
coincidences,1.477277758,0.033321323,76,68
coincident,1.580552683,0.026269228,79,67
coincidental,1.909441194,0.012318528,89,89
